Istanbul          	ESENYEL & PARTNERS Lawyers and Consultants	info@esenyelpartners.com
Istanbul          	Goksu Safi Isik Attorney Partnership	info@goksusafiisik.av.tr
Istanbul          	Deris Attorneys at Law Partnership  	deris@deris.com.tr
Istanbul          	ADMD/Mavioglu & Alkan Law Office    	info@admdlaw.com
Istanbul          	Aktay Law Firm                      	info@aktay.av.tr
Istanbul          	Akkas & Partners Law Firm           	akkas@akkaspartners.com
Istanbul          	Sengüler & Sengüler                 	info@senguler.av.tr
Istanbul          	LBF Partners                        	info@lbfpartners.com
Istanbul          	LBF Partners                        	info@lbfpartners.com
Ankara            	Bezen & Partners                    	info@bezenpartners.com; info@bezenpartners.com
Istanbul          	ADMD/Mavioglu & Alkan Law Office    	info@admdlaw.com
Istanbul          	ADMD/Mavioglu & Alkan Law Office    	info@admdlaw.com
Istanbul          	LBF Partners                        	info@lbfpartners.com
Istanbul          	Deris Attorneys at Law Partnership  	deris@deris.com.tr
Istanbul          	Kesikli Law Firm                    	info@omerkesikli.av.tr
